object_1,object_2,visual_similarity,semantic_similarity,context_1,context_2,same_context,alignment_difference,multimodal_similarity
207157,237451,1.0000001192092896,1.0000001192092896,Other,Other,True,0.0,1.0
307598,307599,0.9618272185325623,0.9906069040298462,Other,Other,True,0.028779685497283936,0.9762171506881714
39047,39048,0.9630709290504456,0.93677818775177,Other,Other,True,0.026292741298675537,0.9499245285987854
24316,678610,0.9999999403953552,0.8970025777816772,Himalayan,Himalayan,True,0.10299736261367798,0.9485012292861938
313251,317753,0.9206059575080872,0.9743489027023315,Other,Other,True,0.053742945194244385,0.947477400302887
316436,316437,0.9037119150161743,0.9850085377693176,Other,Other,True,0.08129662275314331,0.9443602561950684
312558,313251,0.9006141424179077,0.9874252080917358,Other,Other,True,0.08681106567382812,0.9440196752548218
312558,317753,0.916475772857666,0.9683843851089478,Other,Other,True,0.05190861225128174,0.9424301385879517
309944,313251,0.9489234089851379,0.9264522790908813,Other,Other,True,0.022471129894256592,0.9376879930496216
39048,39054,0.9467177391052246,0.9209852814674377,Other,Other,True,0.025732457637786865,0.9338515400886536
322619,322621,0.8606919050216675,1.0,Other,Other,True,0.13930809497833252,0.9303459525108337
308022,308024,0.8568477630615234,1.000000238418579,Other,Other,True,0.14315247535705566,0.9284238815307617
39047,39054,0.9496545791625977,0.8999602198600769,Other,Other,True,0.04969435930252075,0.9248074889183044
60451,60470,0.911372184753418,0.9322218894958496,Other,Other,True,0.02084970474243164,0.9217970967292786
309944,317753,0.8880189657211304,0.9538966417312622,Other,Other,True,0.06587767601013184,0.9209578037261963
444865,444866,0.9054709672927856,0.9300472736358643,South_Asia,South_Asia,True,0.024576306343078613,0.9177591800689697
60435,60470,0.9144235253334045,0.9049184322357178,Other,Other,True,0.009505093097686768,0.9096710681915283
314523,314524,0.8300691843032837,0.9882228374481201,Other,Other,True,0.15815365314483643,0.9091459512710571
444859,444866,0.8991234302520752,0.9157137274742126,South_Asia,South_Asia,True,0.01659029722213745,0.9074186086654663
444859,444865,0.9065901041030884,0.9074769020080566,South_Asia,South_Asia,True,0.0008867979049682617,0.9070334434509277
309944,312558,0.879036545753479,0.9265544414520264,Other,Other,True,0.04751789569854736,0.9027954339981079
39046,39048,0.8931866884231567,0.9100198745727539,Other,Other,True,0.016833186149597168,0.9016033411026001
53438,57363,0.8008774518966675,0.996751070022583,Other,Other,True,0.19587361812591553,0.8988142013549805
309943,309944,0.8696671724319458,0.9275075793266296,Other,Other,True,0.05784040689468384,0.8985873460769653
309227,315668,0.8182275295257568,0.9669063687324524,Other,Other,True,0.14867883920669556,0.8925670385360718
