object_1,object_2,visual_similarity,semantic_similarity,context_1,context_2,same_context,alignment_difference,multimodal_similarity
207157,237451,1.0000001192092896,1.0000001192092896,Other,Other,True,0.0,1.0
24316,678610,0.9999999403953552,0.8970025777816772,Himalayan,Himalayan,True,0.10299736261367798,0.9485012292861938
39047,39048,0.9630709290504456,0.93677818775177,Other,Other,True,0.026292741298675537,0.9499245285987854
307598,307599,0.9618272185325623,0.9906069040298462,Other,Other,True,0.028779685497283936,0.9762171506881714
39047,39054,0.9496545791625977,0.8999602198600769,Other,Other,True,0.04969435930252075,0.9248074889183044
309944,313251,0.9489234089851379,0.9264522790908813,Other,Other,True,0.022471129894256592,0.9376879930496216
39048,39054,0.9467177391052246,0.9209852814674377,Other,Other,True,0.025732457637786865,0.9338515400886536
53013,53242,0.9291225671768188,0.764818549156189,Other,Other,True,0.16430401802062988,0.8469705581665039
309943,313251,0.9211059808731079,0.8542762994766235,Other,Other,True,0.06682968139648438,0.8876911401748657
313251,317753,0.9206059575080872,0.9743489027023315,Other,Other,True,0.053742945194244385,0.947477400302887
312558,317753,0.916475772857666,0.9683843851089478,Other,Other,True,0.05190861225128174,0.9424301385879517
60435,60470,0.9144235253334045,0.9049184322357178,Other,Other,True,0.009505093097686768,0.9096710681915283
60451,60470,0.911372184753418,0.9322218894958496,Other,Other,True,0.02084970474243164,0.9217970967292786
37807,39742,0.9071283340454102,0.7756851315498352,Other,Other,True,0.13144320249557495,0.8414067029953003
444859,444865,0.9065901041030884,0.9074769020080566,South_Asia,South_Asia,True,0.0008867979049682617,0.9070334434509277
444865,444866,0.9054709672927856,0.9300472736358643,South_Asia,South_Asia,True,0.024576306343078613,0.9177591800689697
316436,316437,0.9037119150161743,0.9850085377693176,Other,Other,True,0.08129662275314331,0.9443602561950684
312558,313251,0.9006141424179077,0.9874252080917358,Other,Other,True,0.08681106567382812,0.9440196752548218
444859,444866,0.8991234302520752,0.9157137274742126,South_Asia,South_Asia,True,0.01659029722213745,0.9074186086654663
324139,327315,0.8984058499336243,0.7117654085159302,Other,Other,True,0.1866404414176941,0.8050855994224548
39046,39047,0.8970357179641724,0.8865700960159302,Other,Other,True,0.010465621948242188,0.8918029069900513
39046,39048,0.8931866884231567,0.9100198745727539,Other,Other,True,0.016833186149597168,0.9016033411026001
39046,39054,0.8919797539710999,0.8846069574356079,Other,Other,True,0.007372796535491943,0.888293445110321
448280,452651,0.891303539276123,0.8347769379615784,Other,Other,True,0.05652660131454468,0.8630402088165283
24317,24318,0.8881458044052124,0.823010265827179,Himalayan,Himalayan,True,0.06513553857803345,0.8555780649185181
309944,317753,0.8880189657211304,0.9538966417312622,Other,Other,True,0.06587767601013184,0.9209578037261963
53241,53242,0.8834022283554077,0.7789835929870605,Other,Other,True,0.10441863536834717,0.8311929702758789
53013,53429,0.8833868503570557,0.8360692858695984,Other,Other,True,0.047317564487457275,0.8597280979156494
53455,60437,0.8797233700752258,0.7813063859939575,Other,Other,True,0.09841698408126831,0.8305149674415588
309943,317753,0.8796127438545227,0.8855316638946533,Other,Other,True,0.005918920040130615,0.8825721740722656
309944,312558,0.879036545753479,0.9265544414520264,Other,Other,True,0.04751789569854736,0.9027954339981079
453193,453267,0.8768386840820312,0.8316765427589417,South_Asia,South_Asia,True,0.0451621413230896,0.8542577624320984
